Species,Length1,Length2,Length3,Height,Width,Weight
100,2320,2540,3000,1152,402,24200
100,2400,2630,3120,1248,431,29000
100,2390,2650,3110,1238,470,34000
100,2630,2900,3350,1273,446,36300
100,2650,2900,3400,1244,513,43000
100,2680,2970,3470,1360,493,45000
100,2680,2970,3450,1418,528,50000
100,2760,3000,3500,1267,469,39000
100,2760,3000,3510,1400,484,45000
100,2850,3070,3620,1423,496,50000
100,2840,3100,3620,1426,510,47500
100,2870,3100,3620,1437,481,50000
100,2910,3150,3640,1376,437,50000
100,2950,3200,3730,1391,507,34000
100,2940,3200,3720,1495,517,60000
100,2940,3200,3720,1544,558,60000
100,3040,3300,3830,1486,529,70000
100,3040,3300,3850,1494,520,70000
100,3090,3350,3860,1563,513,61000
100,3100,3350,3870,1447,573,65000
100,3130,3400,3950,1513,557,57500
100,3140,3400,3920,1599,537,68500
100,3150,3450,3970,1552,528,62000
100,3180,3500,4060,1547,613,68000
100,3190,3500,4050,1624,559,70000
100,3180,3500,4090,1636,605,72500
100,3200,3500,4060,1636,609,72000
100,3270,3600,4150,1652,585,71400
100,3280,3600,4160,1689,620,85000
100,3350,3700,4260,1896,660,100000
100,3500,3850,4410,1804,631,92000
100,3500,3850,4400,1808,629,95500
100,3620,3950,4530,1875,675,92500
100,3740,4100,4590,1864,675,97500
100,3800,4100,4650,1762,637,95000
200,1290,1410,1620,415,227,4000
200,1650,1820,2030,530,282,6900
200,1750,1880,2120,558,290,7800
200,1820,1980,2220,562,317,8700
200,1860,2000,2220,622,357,12000
200,1900,2050,2280,648,335,0
200,1910,2080,2310,617,340,11000
200,1940,2100,2370,611,329,12000
200,2040,2200,2470,580,375,15000
200,2050,2200,2430,663,355,14500
200,2050,2250,2530,703,382,16000
200,2100,2250,2500,655,332,14000
200,2110,2250,2500,640,380,16000
200,2200,2400,2720,753,384,16900
200,2200,2340,2670,692,363,16100
200,2210,2350,2680,740,413,20000
200,2360,2520,2790,709,391,18000
200,2400,2600,2920,888,450,29000
200,2500,2700,3060,857,477,27200
200,2950,3170,3500,948,536,39000
300,2360,2600,2870,838,425,27000
300,2410,2650,2930,815,425,27000
300,2560,2800,3080,878,468,30600
300,2850,3100,3400,1074,656,54000
300,3370,3640,3960,1176,657,80000
300,3730,4000,4350,1235,652,100000
400,1350,1470,1650,685,233,5500
400,1430,1550,1740,658,231,6000
400,1630,1770,1980,741,267,9000
400,1750,1900,2130,839,292,12000
400,1840,2000,2240,889,329,15000
400,1900,2070,2320,854,329,14000
400,1900,2070,2320,940,341,17000
400,1980,2150,2410,974,316,14500
400,2120,2300,2580,1035,366,20000
400,2300,2500,2800,1109,414,27300
400,2400,2600,2900,1137,423,30000
500,750,840,880,211,141,590
500,1250,1370,1470,353,200,3200
500,1380,1500,1600,382,243,4000
500,1500,1620,1720,459,263,5150
500,1570,1740,1850,459,294,7000
500,1620,1800,1920,522,332,10000
500,1680,1870,1940,520,312,7800
500,1720,1900,2020,564,305,8000
500,1780,1960,2080,514,304,8500
500,1820,2000,2100,508,277,8500
500,1900,2100,2250,569,356,11000
500,1900,2100,2250,592,331,11500
500,1900,2100,2250,569,367,12500
500,1930,2130,2280,638,353,13000
500,2000,2200,2350,611,341,12000
500,2000,2200,2350,564,352,12000
500,2000,2200,2350,611,352,13000
500,2000,2200,2350,588,352,13500
500,2000,2200,2350,552,400,11000
500,2050,2250,2400,586,362,13000
500,2050,2250,2400,679,362,15000
500,2070,2270,2420,595,363,14500
500,2100,2300,2450,522,363,15000
500,2150,2350,2500,628,372,17000
500,2200,2400,2550,729,372,22500
500,2200,2400,2550,638,382,14500
500,2260,2460,2620,673,417,18800
500,2300,2500,2650,644,368,18000
500,2350,2560,2700,656,424,19700
500,2500,2650,2800,717,414,21800
500,2520,2730,2870,832,514,30000
500,2540,2750,2890,717,434,26000
500,2540,2750,2890,705,434,26500
500,2540,2750,2890,728,457,25000
500,2590,2800,2940,782,420,25000
500,2690,2870,3010,759,464,30000
500,2780,3000,3160,762,477,32000
500,3050,3280,3400,1003,602,51400
500,3200,3450,3650,1026,639,55600
500,3250,3500,3730,1149,780,84000
500,3400,3650,3900,1088,686,68500
500,3400,3600,3830,1061,674,70000
500,3450,3700,3940,1084,626,70000
500,3460,3700,3930,1057,637,69000
500,3650,3900,4140,1114,749,90000
500,3650,3900,4140,1114,600,65000
500,3660,3900,4130,1243,735,82000
500,3690,4000,4230,1193,711,85000
500,3700,4000,4250,1173,722,90000
500,3700,4000,4240,1238,746,101500
500,3710,4000,4250,1114,663,82000
500,3900,4200,4460,1280,687,110000
500,3980,4300,4520,1193,728,100000
500,4010,4300,4550,1251,742,110000
500,4020,4350,4600,1260,814,100000
500,4110,4400,4660,1249,760,100000
600,3000,3230,3480,557,338,20000
600,3170,3400,3780,571,416,30000
600,3270,3500,3880,594,438,30000
600,3480,3730,3980,629,402,30000
600,3550,3800,4050,729,458,43000
600,3600,3850,4100,640,398,34500
600,4000,4250,4550,728,432,45600
600,4000,4250,4550,682,446,51000
600,4010,4300,4580,779,513,54000
600,4200,4500,4800,696,490,50000
600,4320,4600,4870,779,487,56700
600,4480,4800,5120,768,538,77000
600,4830,5170,5510,893,617,95000
600,5200,5600,5970,1069,698,125000
600,5600,6000,6400,960,614,160000
600,5600,6000,6400,960,614,155000
600,5900,6340,6800,1081,748,165000
700,930,980,1080,174,105,670
700,1000,1050,1160,197,116,750
700,1010,1060,1160,173,115,700
700,1040,1100,1200,220,138,970
700,1070,1120,1240,208,128,980
700,1080,1130,1260,198,129,870
700,1130,1180,1310,221,128,1000
700,1130,1180,1310,221,117,990
700,1140,1200,1320,220,115,980
700,1150,1220,1340,209,139,1220
700,1170,1240,1350,243,127,1340
700,1210,1300,1380,228,126,1220
700,1320,1430,1520,287,207,1970
700,1380,1500,1620,293,188,1990
